County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Clare,Ballyea GAA Club,Refurb showers & toilets.ReRoofClubhouse.Lawnmower,"?175,000",Sports Club,Gaelic Games,Local
Clare,Ballynanty Rovers AFC,Clubhouse building and ancillary facilities,"?200,000",Sports Club,Soccer,Local
Clare,Ballyvaughan Community Development Group,LED floodlighting for Ballyvaughan Community MUGA,"?53,000",Community Group,Multi-sport,Local
Clare,Banner GAA Club Ennis,All Weather Astro Turf Playing Area,"?175,000",Sports Club,Gaelic Games,Local
Clare,Board of Management Newmarket on Fergus,"Ball Wall, Ball Stop Netting and Portable Goals","?84,292",School (primary or second level),Gaelic Games,Local
Clare,Bridge Celtic,Sports & Maintenance Equipment,"?34,803",Sports Club,Soccer,Local
Clare,Broadford Gaelic Athletic Association Club,Broadford GAA All Weather Pitch Development,"?200,000",Sports Club,Gaelic Games,Local
Clare,Bunratty Cratloe FC,Development Plan for Woulfe Park,"?14,700",Sports Club,Soccer,Local
Clare,Burren Outdoor Education Centre,Refurbishment of toilets/ showers/ changing rooms,"?69,656",Outdoor Education Centre,Multi-sport,Local
Clare,Burren Sub Aqua Club CLG,Burren Sub Aqua Club Rigid Inflatable Boat,"?70,000",Sports Club,Diving/Snorkelling,Local
Clare,Callan United Football Club,Callan Utd Equipment Upgrade,"?3,851",Sports Club,Soccer,Local
Clare,Castle Carraig Riding Club,Castle Carraig Riding Club ? Training Equipment,"?2,792",Sports Club,Equestrian Sports,Local
Clare,CLARE COUNTY COUNCIL,2023 Refurb 400m Running Track Active Ennis Lees Road,"?161,509",Local Authority - Town Council - Borough Council,Multi-sport,Local
Clare,CLARE COUNTY COUNCIL,2023 -Active Kilrush Running Track Lighting,"?66,500",Local Authority - Town Council - Borough Council,Multi-sport,Local
Clare,Clare Cricket Club,Re-Development of Clare Cricket Club ground,"?69,312",Sports Club,Cricket,Local
Clare,Clare District Soccer League,"Clare Co. Soccer Grounds, Frank Healy Pk. Upgrade","?481,900",Sports Club,Soccer,Non-Local
